Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
"LAVA YUVA 2 PRO (White, 64 GB)","₹8,439","₹12,999",30% off,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,32MP Rear Camera,5000 mAh Battery,"One Year Warranty for Handset, 6 Months for Accessories",4
"SAMSUNG Galaxy A03 (Black, 32 GB)","₹8,990","₹2,999",29% off,3 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera,5000 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1
MTR GT,"₹2,100","₹1,999",55% off,32 MB RAM | 32 MB ROM,7.11 cm (2.8 inch) Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.4
MTR M400,₹890,"₹9,999",17% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,13MP Rear Camera,5000 mAh Lithium Ion Battery,Brand Warranty of 1 Year,3.5
"Tecno Spark Go 2023 (Endless Black, 64 GB)","₹8,299","₹14,999",36% off,4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Display,13MP + 2MP + 0.3MP | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.2
"REDMI 11 Prime (Playful Green, 64 GB)","₹9,499","₹10,999",18% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 0.3MP | 5MP Front Camera,3000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2
"REDMI 10A (Charcoal Black, 64 GB)","₹8,977","₹10,999",15% off,4 GB RAM | 64 GB ROM,16.59 cm (6.53 inch) Display,16MP Rear Camera | 8MP Front Camera,5000 mAh Battery,12 + 1 Months Warranty,4.2
"realme C31 (Dark Green, 32 GB)","₹9,290","₹12,999",23% off,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD Display,13MP + 2MP + 0.3MP | 5MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.5
"realme C33 (Night Sea, 64 GB)","₹9,999","₹12,499",20% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty,4.4
"Tecno Spark 10c (Meta Blue, 128 GB)","₹9,988","₹10,999",15% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,1 Year Warranty Provided by the Manufacturer From Date of Purchase,4
"realme C31 (Light Silver, 32 GB)","₹9,290","₹11,999",19% off,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD Display,16MP Rear Camera | 8MP Front Camera,5000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5
"SAMSUNG Galaxy A04e (Light Blue, 64 GB)","₹9,645","₹12,499",20% off,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.1
