Title,Processors,Ram,Battery,Price,Review
"Redmi Note 5 (Blue, 32 GB)",MediaTek MTK Helio P25 Octa Core 2.5 GHz Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5000 mAh Li-ion Polymer Battery,"₹10,999",4.4
"REDMI 10A SPORT (SEA BLUE, 128 GB)",Mediatek Helio G35 Processor,6 GB RAM | 128 GB ROM,5000 mAh Battery,"₹10,999",4.2
"REDMI A2 (Classic Black, 64 GB)",Qualcomm Snapdragon 665 2 GHz Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹10,995",4.3
"Tecno Spark 9 (Sky Mirror, 128 GB)",Qualcomm Snapdragon 665 2 GHz Processor,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,4000 mAh Li Polymer Battery,"₹10,990",4
"Redmi Note 5 (Gold, 64 GB)",T612 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,5000 mAh Battery,"₹10,990",4.3
"vivo Y91 (Nebula Purple, 32 GB)",MediaTek Helio P22 (64 bit) Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,"₹10,990",4.3
"vivo Y15c (Wave Green, 32 GB)",Mediatek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,"₹10,990",3.4
"vivo Y15s (Mystic Blue, 32 GB)",Mediatek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,4000 mAh Li Polymer Battery,"₹10,990",4.4
"Nokia 3.4 (Dusk Purple, 64 GB)",T612 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4030 mAh Battery,"₹10,990",4.3
"vivo Y15s (Wave Green, 32 GB)",Helio G88 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Battery,"₹10,990",4.4
"OPPO A15 (Dynamic Black, 32 GB)",Mediatek helio P23 Octa core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium Battery Battery,"₹10,990",4.3
"REDMI 12C (Matte Black, 6 GB)",Mediatek Helio P10 64-bit Octa Core 1.8GHz Processor,128 GB RAM | 6 GB ROM,4000 mAh Li-ion Battery,"₹10,990",4.2
"vivo U10 (Thunder Black, 32 GB)",Exynos 850 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase,"₹10,990",4.2
"POCO M3 (Yellow, 64 GB)",MediaTek Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Battery Battery,"₹10,990",4.2
"vivo Y91 (Starry Black, 32 GB)",Mediatek helio P23 Octa core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4230 mAh Lithium-ion Polymer Battery,"₹10,980",4
"POCO M3 (Power Black, 64 GB)",Mediatek helio P23 Octa core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,"₹10,970",4.2
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",Mediatek Helio G37 Processor,4 GB RAM | 64 GB ROM,5000 mAh Battery,"₹10,939",4.3
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)",Spreadtrum SC9863A Processor,4 GB RAM | 64 GB ROM,5000 mAh Li-ion Battery,"₹10,909",4.2
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)",Exynos 850 Processor,4 GB RAM | 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"₹10,890",4.2
"SAMSUNG Galaxy A03s (Blue, 64 GB)",Exynos 850 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4030 mAh Battery,"₹10,859",4.1
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",Octa Core Qualcomm Snapdragon 430 Processor,4 GB RAM | 64 GB ROM,6000 mAh Lithium-ion Polymer Battery,"₹11,499",4.2
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",Qualcomm Snapdragon 439 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Battery,"₹11,499",4.4
"Infinix HOT 20 5G (Space Blue, 64 GB)",Qualcomm Snapdragon 625 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,"₹11,499",3.8
